regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,BA,,2021-02-04,14873064.0,599435.0,3295,10255,39
Nordeste,SE,,2021-02-04,2298696.0,139611.0,388,2809,8
Nordeste,RN,,2021-02-05,3506853.0,142465.0,0,3320,0
Nordeste,PI,,2021-02-05,3273227.0,161336.0,388,3112,20
Nordeste,PE,,2021-02-05,9557071.0,268486.0,1487,10452,22
Nordeste,CE,,2021-02-05,9132078.0,380710.0,2512,10585,29
Nordeste,BA,,2021-02-05,14873064.0,602792.0,3357,10294,39
Nordeste,PB,,2021-02-05,4018127.0,195482.0,0,4123,13
Nordeste,SE,,2021-02-05,2298696.0,140005.0,394,2818,9
Nordeste,AL,,2021-02-05,3337357.0,120028.0,570,2788,8
Nordeste,MA,,2021-02-05,7075181.0,209331.0,246,4754,12
Nordeste,RN,,2021-02-06,3506853.0,143519.0,1054,3328,8
Nordeste,PE,,2021-02-06,9557071.0,269937.0,1451,10481,29
Nordeste,CE,,2021-02-06,9132078.0,381621.0,911,10611,26
Nordeste,AL,,2021-02-06,3337357.0,120455.0,427,2797,9
Nordeste,PB,,2021-02-06,4018127.0,197460.0,1978,4135,12
Nordeste,PI,,2021-02-06,3273227.0,162148.0,812,3120,8
Nordeste,SE,,2021-02-06,2298696.0,140272.0,267,2826,8
Nordeste,MA,,2021-02-06,7075181.0,209604.0,273,4765,11
Nordeste,BA,,2021-02-06,14873064.0,606062.0,3270,10334,40
Nordeste,MA,,2021-02-07,7075181.0,209778.0,174,4775,10
Nordeste,SE,,2021-02-07,2298696.0,140623.0,351,2827,1
Nordeste,BA,,2021-02-07,14873064.0,607946.0,1884,10373,39
Nordeste,PB,,2021-02-07,4018127.0,198124.0,664,4146,11
Nordeste,CE,,2021-02-07,9132078.0,382597.0,976,10612,1
Nordeste,AL,,2021-02-07,3337357.0,120694.0,239,2805,8
Nordeste,PE,,2021-02-07,9557071.0,270801.0,864,10494,13
Nordeste,RN,,2021-02-07,3506853.0,144780.0,1261,3334,6
Nordeste,PI,,2021-02-07,3273227.0,162405.0,257,3127,7
Nordeste,BA,,2021-02-08,14873064.0,609755.0,1809,10412,39
Nordeste,PE,,2021-02-08,9557071.0,271542.0,741,10508,14
Nordeste,RN,,2021-02-08,3506853.0,145270.0,490,3340,6
Nordeste,SE,,2021-02-08,2298696.0,141464.0,841,2834,7
Nordeste,CE,,2021-02-08,9132078.0,384531.0,1934,10612,0
Nordeste,AL,,2021-02-08,3337357.0,121145.0,451,2814,9
Nordeste,MA,,2021-02-08,7075181.0,210017.0,239,4787,12
Nordeste,PI,,2021-02-08,3273227.0,162637.0,232,3131,4
Nordeste,PB,,2021-02-08,4018127.0,198735.0,611,4158,12
Nordeste,PI,,2021-02-09,3273227.0,163087.0,450,3139,8
Nordeste,CE,,2021-02-09,9132078.0,386108.0,1577,10640,28
Nordeste,RN,,2021-02-09,3506853.0,145729.0,459,3365,25
Nordeste,MA,,2021-02-09,7075181.0,210539.0,522,4798,11
Nordeste,SE,,2021-02-09,2298696.0,142073.0,609,2842,8
Nordeste,PB,,2021-02-09,4018127.0,199706.0,971,4171,13
